"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 3월","236.82","269.59","282.05","196.27","4.76B","-11.64%"
"2020년 2월","268.02","280.17","304.43","267.23","2.12B","-5.80%"
"2020년 1월","284.53","294.19","307.54","284.53","1.76B","-3.15%"
"2019년 12월","293.77","278.27","296.95","272.53","1.49B","6.14%"
"2019년 11월","276.78","276.17","287.78","275.59","1.51B","0.35%"
"2019년 10월","275.82","273.43","279.49","266.23","1.36B","0.83%"
"2019년 9월","273.55","258.25","278.17","257.40","1.36B","5.62%"
"2019년 8월","259.00","264.97","267.44","250.24","1.81B","-2.76%"
"2019년 7월","266.34","279.59","279.68","265.00","1.92B","-4.02%"
"2019년 6월","277.50","262.68","278.63","262.33","1.27B","5.16%"
"2019년 5월","263.89","283.37","286.87","260.22","1.69B","-7.38%"
"2019년 4월","284.92","278.41","291.21","278.41","1.65B","3.05%"
"2019년 3월","276.48","286.12","286.68","273.88","1.57B","-2.58%"
"2019년 2월","283.80","287.07","290.32","280.02","1.50B","-0.73%"
"2019년 1월","285.89","263.35","288.87","254.55","2.16B","9.13%"
"2018년 12월","261.98","275.70","276.98","259.35","1.59B","-3.45%"
"2018년 11월","271.35","264.72","277.54","262.77","1.88B","2.78%"
"2018년 10월","264.01","301.55","301.97","259.06","1.97B","-12.15%"
"2018년 9월","300.51","299.15","302.64","290.69","1.51B","0.15%"
"2018년 8월","300.07","298.32","300.07","285.42","1.76B","0.88%"
"2018년 7월","297.45","299.12","300.24","289.90","1.82B","-0.74%"
"2018년 6월","299.66","310.13","319.19","295.97","2.04B","-3.62%"
"2018년 5월","310.92","323.56","323.97","308.07","2.60B","-3.91%"
"2018년 4월","323.56","315.56","323.58","308.33","2.12B","2.84%"
"2018년 3월","314.61","310.11","324.72","304.46","1.81B","0.56%"
"2018년 2월","312.86","335.06","335.66","303.47","1.56B","-6.16%"
"2018년 1월","333.38","325.73","339.27","324.22","2.32B","2.66%"
"2017년 12월","324.74","326.85","331.22","316.90","1.84B","-0.16%"
"2017년 11월","325.25","335.67","339.59","324.82","2.06B","-2.49%"
"2017년 10월","333.57","321.29","334.40","320.57","1.42B","5.47%"
"2017년 9월","316.27","308.85","320.40","302.41","1.73M","2.59%"
"2017년 8월","308.28","313.58","318.86","301.32","1.74M","-2.01%"
"2017년 7월","314.60","312.50","322.16","309.62","1.75M","0.91%"
"2017년 6월","311.76","304.74","313.79","302.99","2.02M","2.33%"
"2017년 5월","304.67","288.60","309.32","288.39","1.72M","6.08%"
"2017년 4월","287.21","281.51","289.02","275.01","1.30M","2.34%"
"2017년 3월","280.64","272.14","284.40","268.36","1.63M","3.92%"
"2017년 2월","270.06","269.16","273.18","265.76","1.45M","0.73%"
"2017년 1월","268.09","259.42","271.21","258.64","1.25M","3.11%"
"2016년 12월","260.01","254.84","264.42","251.52","1.18M","2.26%"
"2016년 11월","254.26","255.35","257.03","246.51","1.54M","-0.65%"
"2016년 10월","255.93","259.51","261.68","253.71","1.23M","-0.61%"
"2016년 9월","257.49","254.95","262.10","250.53","1.16M","0.24%"
"2016년 8월","256.87","252.91","258.93","248.60","1.47M","2.14%"
"2016년 7월","251.48","244.96","253.37","240.73","1.42M","3.01%"
"2016년 6월","244.14","242.70","251.51","234.97","1.85M","0.21%"
"2016년 5월","243.63","244.86","244.90","237.65","1.81M","-0.64%"
"2016년 4월","245.20","245.59","249.56","239.57","2.19M","-0.27%"
"2016년 3월","245.86","238.45","247.58","237.21","1.96M","4.79%"
"2016년 2월","234.63","232.87","236.91","223.37","1.49M","1.09%"
"2016년 1월","232.10","239.30","239.35","222.92","1.86M","-3.44%"
"2015년 12월","240.38","245.47","249.08","236.94","1.30M","-1.58%"
"2015년 11월","244.24","249.86","253.22","238.84","1.57M","-2.07%"
"2015년 10월","249.41","236.60","253.41","235.83","1.60M","5.37%"
"2015년 9월","236.71","231.86","241.30","226.03","1.43M","1.68%"
"2015년 8월","232.80","243.71","244.05","217.52","1.85M","-4.71%"
"2015년 7월","244.30","252.49","256.12","241.49","2.59M","-3.16%"
"2015년 6월","252.27","259.84","260.00","246.42","1.90M","-3.12%"
"2015년 5월","260.39","267.57","268.56","259.47","1.58M","-2.26%"
"2015년 4월","266.42","256.44","275.11","254.70","2.30M","3.55%"
